2022-05-12 11:38:47.089[1652366327089] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Starting BotBinanceApplication using Java 11.0.13 on AR0C02FL0P1ML85 with PID 26737 (/Users/ogarciamende/Proyects/oliber/botBinance/target/classes started by ogarciamende in /Users/ogarciamende/Proyects/oliber/botBinance)
2022-05-12 11:38:47.092[1652366327092] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - The following profiles are active: local
2022-05-12 11:38:49.931[1652366329931] | INFO  | main       | c.o.b.b.botbinance.config.TaskConfig - ThreadPoolTaskExecutor set
2022-05-12 11:38:50.235[1652366330235] | INFO  | main       | o.s.b.w.e.netty.NettyWebServer       - Netty started on port 8085
2022-05-12 11:38:50.248[1652366330248] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:38:50.248[1652366330248] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 3.485 seconds (JVM running for 4.562)
2022-05-12 11:38:50.248[1652366330248] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:38:50.248[1652366330248] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:38:50.250[1652366330250] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:38:51.585[1652366331585] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:38:51.943[1652366331943] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:38:52.300[1652366332300] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:38:53.275[1652366333275] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END LOAD DATA*********************************
2022-05-12 11:39:50.244[1652366390244] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:39:50.244[1652366390244] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:39:50.244[1652366390244] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:39:50.244[1652366390244] | INFO  | BinanceAsync-2 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:39:51.216[1652366391216] | INFO  | BinanceAsync-2 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:39:51.540[1652366391540] | INFO  | BinanceAsync-2 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:39:53.016[1652366393016] | INFO  | BinanceAsync-2 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:39:53.694[1652366393694] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END LOAD DATA*********************************
2022-05-12 11:41:22.290[1652366482290] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Starting BotBinanceApplication using Java 11.0.13 on AR0C02FL0P1ML85 with PID 26772 (/Users/ogarciamende/Proyects/oliber/botBinance/target/classes started by ogarciamende in /Users/ogarciamende/Proyects/oliber/botBinance)
2022-05-12 11:41:22.292[1652366482292] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - The following profiles are active: local
2022-05-12 11:41:23.270[1652366483270] | INFO  | main       | c.o.b.b.b.service.KlintesServices    - A GENERAR DINERO POR VOLUMEN
2022-05-12 11:41:35.327[1652366495327] | INFO  | main       | c.o.b.b.botbinance.config.TaskConfig - ThreadPoolTaskExecutor set
2022-05-12 11:41:35.798[1652366495798] | INFO  | main       | o.s.b.w.e.netty.NettyWebServer       - Netty started on port 8085
2022-05-12 11:41:35.813[1652366495813] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 13.817 seconds (JVM running for 14.552)
2022-05-12 11:41:35.814[1652366495814] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:41:35.814[1652366495814] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:41:35.814[1652366495814] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:41:35.817[1652366495817] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:41:37.019[1652366497019] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-12 11:41:37.405[1652366497405] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:41:37.790[1652366497790] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:45:29.140[1652366729140] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Starting BotBinanceApplication using Java 11.0.13 on AR0C02FL0P1ML85 with PID 26842 (/Users/ogarciamende/Proyects/oliber/botBinance/target/classes started by ogarciamende in /Users/ogarciamende/Proyects/oliber/botBinance)
2022-05-12 11:45:29.143[1652366729143] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - The following profiles are active: local
2022-05-12 11:45:29.993[1652366729993] | INFO  | main       | c.o.b.b.b.service.KlintesServices    - A GENERAR DINERO POR VOLUMEN
2022-05-12 11:45:46.758[1652366746758] | INFO  | main       | c.o.b.b.botbinance.config.TaskConfig - ThreadPoolTaskExecutor set
2022-05-12 11:45:47.178[1652366747178] | INFO  | main       | o.s.b.w.e.netty.NettyWebServer       - Netty started on port 8085
2022-05-12 11:45:47.197[1652366747197] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 18.43 seconds (JVM running for 19.159)
