
2022-05-01 17:15:25.304[1651436125304] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Starting BotBinanceApplication using Java 11.0.13 on AR0C02FL0P1ML85 with PID 10091 (/Users/ogarciamende/Proyects/oliber/botBinance/target/classes started by ogarciamende in /Users/ogarciamende/Proyects/oliber/botBinance)
2022-05-01 17:15:25.308[1651436125308] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - The following profiles are active: local
2022-05-01 17:15:26.649[1651436126649] | INFO  | main       | c.o.b.b.botbinance.config.TaskConfig - ThreadPoolTaskExecutor set
2022-05-01 17:15:26.934[1651436126934] | INFO  | main       | o.s.b.w.e.netty.NettyWebServer       - Netty started on port 8085
2022-05-01 17:15:26.947[1651436126947] | INFO  | main       | c.o.b.b.b.BotBinanceApplication      - Started BotBinanceApplication in 2.066 seconds (JVM running for 2.96)
2022-05-01 17:15:26.949[1651436126949] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-01 17:15:26.949[1651436126949] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-01 17:15:26.950[1651436126950] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *********************INIT BINARIES*********************************
2022-05-01 17:15:26.950[1651436126950] | WARN  | BinanceAsync-2 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-01 17:15:26.950[1651436126950] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-01 17:15:26.950[1651436126950] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-01 17:15:26.952[1651436126952] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-01 17:15:28.094[1651436128094] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/price
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-10  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BNBUPUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-11  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=VGXUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-4   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DEXEUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-9   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MANAUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-13  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ZECUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-12  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ENSUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-7   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SKLUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-15  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=HIVEUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-6   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=TRXUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-14  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BIFIUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-5   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=GLMRUSDT&interval=1m
2022-05-01 17:15:28.455[1651436128455] | INFO  | Thread-8   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DODOUSDT&interval=1m
2022-05-01 17:15:28.456[1651436128456] | INFO  | Thread-16  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=DNTUSDT&interval=1m
2022-05-01 17:15:28.457[1651436128457] | INFO  | Thread-18  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FILUSDT&interval=1m
2022-05-01 17:15:28.457[1651436128457] | INFO  | Thread-19  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=LOKAUSDT&interval=1m
2022-05-01 17:15:28.457[1651436128457] | INFO  | Thread-20  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=XVSUSDT&interval=1m
